Date,Open,High,Low,Close,Adj Close,Volume
09-12-2022,2646,2660,2601.850098,2609.100098,2609.100098,5840633
12-12-2022,2585.5,2623,2585,2613.100098,2613.100098,4374946
13-12-2022,2613.100098,2633,2606.699951,2625,2625,3845839
14-12-2022,2637.649902,2638.949951,2611,2615.5,2615.5,3354618
15-12-2022,2602.5,2615,2571,2578.350098,2578.350098,4009765
16-12-2022,2571,2618.800049,2558.149902,2565.600098,2565.600098,7308934
19-12-2022,2581,2604,2566.699951,2599.300049,2599.300049,3567363
20-12-2022,2583.899902,2626,2566,2621.800049,2621.800049,3446291
21-12-2022,2621,2633,2576.100098,2584.5,2584.5,3935463
22-12-2022,2598,2604.649902,2566.75,2577.800049,2577.800049,3438692
23-12-2022,2563.300049,2590.5,2492.25,2502.199951,2502.199951,4733657
26-12-2022,2514.75,2542,2492.399902,2524.050049,2524.050049,2764496
27-12-2022,2530,2548.800049,2515.25,2544.699951,2544.699951,2659749
28-12-2022,2538,2549.800049,2521.5,2544.449951,2544.449951,3442509
29-12-2022,2527,2548.899902,2525.5,2543.300049,2543.300049,3198493
30-12-2022,2545.100098,2577,2541.100098,2547.199951,2547.199951,3364092
02-01-2023,2550,2579,2548.199951,2575.899902,2575.899902,2453414
03-01-2023,2565.050049,2573,2547.800049,2557.050049,2557.050049,3534596
04-01-2023,2557,2561.050049,2514,2518.550049,2518.550049,4275746
05-01-2023,2523.5,2536.399902,2504,2514.050049,2514.050049,6293519
06-01-2023,2526.649902,2547.949951,2518.300049,2536.899902,2536.899902,2930338
09-01-2023,2545.300049,2602,2543.350098,2596.800049,2596.800049,4948549
10-01-2023,2606,2606,2546,2558.399902,2558.399902,3713755
11-01-2023,2552.5,2558,2521.100098,2526.149902,2526.149902,5311657
12-01-2023,2524.850098,2532.5,2465,2471.600098,2471.600098,8163366
13-01-2023,2458.399902,2472.899902,2434.600098,2467.600098,2467.600098,9515473
16-01-2023,2472.699951,2479.649902,2427,2444.100098,2444.100098,6287407
17-01-2023,2458,2483,2450.600098,2478.800049,2478.800049,4961585
18-01-2023,2473.5,2491.100098,2460.350098,2474.699951,2474.699951,6206382
19-01-2023,2472.899902,2481.149902,2456.649902,2472.050049,2472.050049,5510333
20-01-2023,2475,2475,2437.25,2442.649902,2442.649902,6890325
23-01-2023,2449,2466.199951,2425,2430.300049,2430.300049,5055324
24-01-2023,2440,2443.649902,2387.350098,2415.949951,2415.949951,7609558
25-01-2023,2412.449951,2414.699951,2380,2382.550049,2382.550049,5715684
27-01-2023,2384.399902,2387.350098,2311.649902,2337.350098,2337.350098,11920991
30-01-2023,2331.699951,2371.899902,2301,2359.75,2359.75,10047822
31-01-2023,2382,2387.649902,2341,2353.850098,2353.850098,10472167
